Youtube	Spotify
words	words
Aimer	Aimer
mellow yellow	mellow yellow
土岐麻子	Asako Toki
Lemon	Lemon
Kenshi Yonezu	Kenshi Yonezu
Polaris	ポラリス
Aimer	Aimer
Pop Virus	Pop Virus
星野 源	Gen Hoshino
Departures - Anata Ni Okuru Ai No Uta	Departures 〜あなたにおくるアイの歌〜
EGOIST	EGOIST
Issun No Aka	一寸の赤
yama	yama
yorunokoiha	夜の恋は
indigo la End	indigo la End
Shin Takarajima	Shin Takarajima
Lefty Hand Cream	Lefty Hand Cream
Avid (feat. mizuki)	Avid
SawanoHiroyuki[nZk]	SawanoHiroyuki[nZk]
Yamiyo	闇夜
Eve	Eve
Seikatsu	せいかつ
Kai Kubota	Shun Maruno,クボタカイ
One Day	One Day
Omoinotake	Omoinotake
群青	群青
YOASOBI	YOASOBI
アンコール	アンコール
YOASOBI	YOASOBI
されど日々は	されど日々は
Official髭男dism	OFFICIAL HIGE DANDISM
就寝御礼	就寝御礼
PSYQUI	PSYQUI
Jet	JET
Polkadot Stingray	POLKADOT STINGRAY
Rowan	Rowan
Official髭男dism	OFFICIAL HIGE DANDISM
Freeze	Freeze
flumpool	flumpool
たぶん	たぶん
YOASOBI	YOASOBI
解けない駆け引き	解けない駆け引き
クレナズム	culenasm
クボタカイ	クボタカイ
Pale Blue	Pale Blue	
Kenshi Yonezu	Kenshi Yonezu
Paprika	パプリカ
Kenshi Yonezu	Kenshi Yonezu
Daydream	ゆめうつつ
Kenshi Yonezu	Kenshi Yonezu
orion	orion
Kenshi Yonezu	Kenshi Yonezu
Sottokimetakotobawa	そっと決めた言葉は
Suzukisuzuki	鈴木鈴木
Gen Takahashi	高橋 玄
lilac slumber	lilac slumber
Annabel	Annabel
Dried Flower	ドライフラワー
Yuuri	Yuuri
kataomoi	カタオモイ
Aimer	Aimer
uchiagehanabi	打上花火
Kenshi Yonezu	Kenshi Yonezu
優しい彗星	優しい彗星
YOASOBI	YOASOBI
Yasashii Hito	優しい人
Kenshi Yonezu	Kenshi Yonezu
Machigai Sagashi	まちがいさがし
Kenshi Yonezu	Kenshi Yonezu
Canary	カナリヤ
Kenshi Yonezu	Kenshi Yonezu
Yuukai sink	融解sink
Vaundy	Vaundy
kimi wo matsu	君を待つ
Aimer	Aimer
trill	トリル
Aimer	Aimer
Cinnamon	Cinnamon
Tatsuya Kitani	キタニタツヤ
